"סריאלי","סוג","הערה"
"400659","M4","לא-נמצא — קידוד שונה/יחידה אחרת"
"30136","DRONE-EvoMax4N","לא-נמצא — קידוד שונה/יחידה אחרת"
"6700732","MAG","לא-נמצא — קידוד שונה/יחידה אחרת"
"7202669","MAG","לא-נמצא — קידוד שונה/יחידה אחרת"
"6800286","MAG","לא-נמצא — קידוד שונה/יחידה אחרת"
"6203199","MAG","לא-נמצא — קידוד שונה/יחידה אחרת"
"25102023","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"31281","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25102317","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"26034","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"27105","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25100858","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"27014","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25100981","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"30180","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"30461","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25102355","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"31322","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25102147","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25102470","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"16577","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25101484","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"10378","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25102346","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"26965","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25102245","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"30473","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25102255","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25102136","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"17992","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25101085","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"26875","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25102266","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"23925","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25102330","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"26882","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25101526","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"31308","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25102133","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"31622","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25101174","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"56282","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25102406","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"30450","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"23101008","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"19373","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25100238","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"56418","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25100015","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"26820","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"21102125","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"31298","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25101502","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"31297","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"2510263","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"27139","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25101543","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"31636","כוונת","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25102449","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
"25102253","רובה M4","עודף — בארמון במערכת אך לא בשובר החטיבה"
